"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","RPI_Rank","RPI_Value","Conference","Games_Played","SOS","SOS_High","SOS_Low","SOS_Rank","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Colgate",6,64,10.67,6,84,14,6,78,89,167,0.467,6,12,23,0.522,6,9,20,0.55,1,5,0.167,6,64,84,-3.33,6,29,4.83,6,82,13.67,6,64,29,93,15.5,6,205,34.17,6,129,21.5,6,65,10.83,6,64,233,0.275,6,131,169,0.775,2026,2026-03-16,82,84,0.494,NA,NA,55,NA,"Patriot League",7,2.651,5.78,-0.44,10,-1.34,-6.28,-2.36,-3.27,0.2916,12.34,58,"v5","Margin of Victory","2026-03-16"
"Cornell",5,57,11.4,5,54,10.8,5,75,53,128,0.586,5,2,8,0.25,5,2,11,0.818,3,2,0.6,5,57,54,0.6,5,39,7.8,5,58,11.6,5,57,39,96,19.2,5,161,32.2,5,92,18.4,5,33,6.6,5,57,193,0.295,5,97,121,0.802,2026,2026-03-16,58,54,0.5179,3,10,16,NA,"Ivy League",6,3.065,7.52,-0.74,7,0.23,0.67,5.02,1.03,0.4098,11.1,30,"v5","Margin of Victory","2026-03-16"
"Dartmouth",6,77,12.83,6,66,11,6,88,73,161,0.547,6,7,17,0.412,6,5,13,0.615,4,2,0.667,6,77,66,1.83,6,44,7.33,6,72,12,6,77,44,121,20.17,6,211,35.17,6,129,21.5,6,76,12.67,6,77,236,0.326,6,119,148,0.804,2026,2026-03-16,70,63,0.5263,NA,NA,21,NA,"Ivy League",6,0.807,11.06,-6.81,30,3.29,0.23,2.6,2.32,0.4098,11.91,24,"v5","Margin of Victory","2026-03-16"
"Delaware",6,43,7.17,6,77,12.83,6,52,89,141,0.369,NA,NA,0,0,6,7,16,0.562,1,5,0.167,6,43,77,-5.67,6,21,3.5,6,69,11.5,6,43,21,64,10.67,6,153,25.5,6,91,15.17,6,44,7.33,6,43,211,0.204,6,92,119,0.773,2026,2026-03-16,57,63,0.475,NA,NA,57,NA,"CAA",7,3.031,11.06,-2.86,8,-8.84,-3.74,-8.43,-6.7,-0.3808,10,66,"v5","Margin of Victory","2026-03-16"
"Denver",6,66,11,6,38,6.33,6,59,68,127,0.465,6,6,15,0.4,6,2,13,0.846,4,2,0.667,6,66,38,4.67,6,44,7.33,6,80,13.33,6,66,44,110,18.33,6,173,28.83,6,97,16.17,6,44,7.33,6,66,205,0.322,6,132,150,0.88,2026,2026-03-16,76,37,0.6726,17,14,19,NA,"Summit League",7,2.326,11.06,-7.94,12,-0.63,10.38,-2.48,6.35,1.1332,8.66,8,"v5","Margin of Victory","2026-03-16"
"Detroit Mercy",6,47,7.83,6,87,14.5,6,73,80,153,0.477,6,8,19,0.421,6,10,24,0.583,1,5,0.167,6,47,87,-6.67,6,24,4,6,85,14.17,6,47,24,71,11.83,6,174,29,6,111,18.5,6,50,8.33,6,47,176,0.267,6,125,146,0.856,2026,2026-03-16,85,87,0.4942,NA,NA,67,NA,"Horizon League",7,-0.071,8.46,-11.37,42,-7.43,-7.37,-1.74,-9.38,-1.5012,11.16,74,"v5","Margin of Victory","2026-03-16"
"Drexel",7,79,11.29,7,62,8.86,7,88,76,164,0.537,7,7,25,0.28,7,4,11,0.636,4,3,0.571,7,79,62,2.43,7,52,7.43,7,72,10.29,7,79,52,131,18.71,7,207,29.57,7,120,17.14,7,39,5.57,7,79,258,0.306,7,132,154,0.857,2026,2026-03-16,72,61,0.5414,NA,NA,44,NA,"CAA",8,-2.447,4,-8.43,67,-0.01,4.88,1.98,1.8,-0.3808,10.07,28,"v5","Margin of Victory","2026-03-16"
"Duke",6,108,18,6,43,7.17,6,104,68,172,0.605,6,8,14,0.571,6,3,18,0.833,6,0,1,6,108,43,10.83,6,63,10.5,6,57,9.5,6,108,63,171,28.5,6,230,38.33,6,103,17.17,6,59,9.83,6,108,311,0.347,6,132,149,0.886,2026,2026-03-16,48,34,0.5854,5,6,4,NA,"ACC",7,0.02,11.06,-7.94,41,14.38,8.55,6.19,13.37,1.5089,12.59,1,"v5","Margin of Victory","2026-03-16"
"Fairfield",7,81,11.57,7,83,11.86,7,92,93,185,0.497,7,2,18,0.111,7,12,20,0.4,3,4,0.429,7,81,83,-0.29,7,45,6.43,7,59,8.43,7,81,45,126,18,7,183,26.14,7,107,15.29,7,61,8.71,7,81,287,0.282,7,131,148,0.885,2026,2026-03-16,59,81,0.4214,NA,NA,49,NA,"MAAC",8,-1.724,2.33,-11.37,54,0.59,-1.63,-0.5,-1.56,-0.7271,11.71,47,"v5","Margin of Victory","2026-03-16"
"Georgetown",5,56,11.2,5,56,11.2,5,62,70,132,0.47,5,1,9,0.111,5,3,6,0.5,2,3,0.4,5,56,56,0,5,43,8.6,5,58,11.6,5,56,43,99,19.8,5,150,30,5,81,16.2,5,44,8.8,5,56,175,0.32,5,96,111,0.865,2026,2026-03-16,58,56,0.5088,11,13,14,NA,"Big East",5,4.996,8.46,-0.74,2,-0.2,-0.2,-2.17,-0.33,-0.0923,11.2,39,"v5","Margin of Victory","2026-03-16"
"Hampton",6,58,9.67,6,106,17.67,6,57,128,185,0.308,6,6,15,0.4,6,11,20,0.45,0,6,0,6,58,106,-8,6,32,5.33,6,102,17,6,58,32,90,15,6,121,20.17,6,106,17.67,6,27,4.5,6,58,225,0.258,6,108,143,0.755,2026,2026-03-16,90,101,0.4712,NA,NA,77,NA,"CAA",7,-4.292,-0.4,-7.99,76,-3.48,-14.25,-12.21,-9.15,-0.3808,13.67,73,"v5","Margin of Victory","2026-03-16"
"Harvard",5,76,15.2,5,41,8.2,5,64,71,135,0.474,5,3,8,0.375,5,3,14,0.786,5,0,1,5,76,41,7,5,45,9,5,60,12,5,76,45,121,24.2,5,169,33.8,5,81,16.2,5,37,7.4,5,76,205,0.371,5,100,116,0.862,2026,2026-03-16,59,41,0.59,6,4,11,NA,"Ivy League",6,1.29,7.68,-2.09,26,8.37,6.31,-1.92,7.75,0.4098,11.7,5,"v5","Margin of Victory","2026-03-16"
"High Point",6,54,9,6,84,14,6,84,78,162,0.519,6,6,20,0.3,6,6,13,0.538,1,5,0.167,6,54,84,-5,6,35,5.83,6,59,9.83,6,54,35,89,14.83,6,181,30.17,6,123,20.5,6,30,5,6,54,182,0.297,6,95,125,0.76,2026,2026-03-16,59,84,0.4126,NA,NA,37,NA,"Conference USA",7,3.913,8.46,-5.04,4,-4.92,-6.28,0.86,-7.35,-1.3116,11.5,69,"v5","Margin of Victory","2026-03-16"
"Hobart",7,66,9.43,7,75,10.71,7,70,91,161,0.435,7,8,23,0.348,7,3,26,0.885,2,5,0.286,7,66,75,-1.29,7,40,5.71,7,81,11.57,7,66,40,106,15.14,7,190,27.14,7,124,17.71,7,64,9.14,7,66,254,0.26,7,121,147,0.823,2026,2026-03-16,75,68,0.5245,NA,NA,62,NA,"Liberty League",7,-0.77,2.46,-2.56,49,-4,0.86,-4.34,-2.09,-0.3736,10.07,51,"v5","Margin of Victory","2026-03-16"
"Hofstra",6,48,8,6,50,8.33,6,45,71,116,0.388,6,3,11,0.273,6,5,8,0.375,2,4,0.333,6,48,50,-0.33,6,22,3.67,6,60,10,6,48,22,70,11.67,6,139,23.17,6,76,12.67,6,34,5.67,6,48,197,0.244,6,88,102,0.863,2026,2026-03-16,60,50,0.5455,NA,NA,63,NA,"CAA",7,-2.2,2.86,-10.59,61,-7.06,6.03,-7.25,-1.1,-0.3808,8.16,45,"v5","Margin of Victory","2026-03-16"
"Holy Cross",7,72,10.29,7,74,10.57,7,101,73,174,0.58,7,7,16,0.438,7,5,15,0.667,4,3,0.571,7,72,74,-0.29,7,47,6.71,7,78,11.14,7,72,47,119,17,7,182,26,7,124,17.71,7,65,9.29,7,72,272,0.265,7,118,144,0.819,2026,2026-03-16,78,74,0.5132,NA,NA,38,NA,"Patriot League",8,-0.47,4.89,-6.81,44,-2.15,1.17,4.64,-0.08,0.2916,10.43,37,"v5","Margin of Victory","2026-03-16"
"Iona",9,61,6.78,9,152,16.89,9,76,168,244,0.311,9,7,30,0.233,9,11,30,0.633,0,9,0,9,61,152,-10.11,9,36,4,9,137,15.22,9,61,36,97,10.78,9,228,25.33,9,175,19.44,9,64,7.11,9,61,266,0.229,9,156,197,0.792,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,61,NA,"MAAC",10,1.408,11.06,-4.82,23,-9.68,-12.56,-12.02,-11.87,-0.7271,11.84,75,"v5","Margin of Victory","2026-03-16"
"Jacksonville",7,95,13.57,7,61,8.71,7,96,84,180,0.533,7,8,24,0.333,7,6,18,0.667,3,4,0.429,7,95,61,4.86,7,57,8.14,7,70,10,7,95,57,152,21.71,7,251,35.86,7,109,15.57,7,77,11,7,95,287,0.331,7,135,153,0.882,2026,2026-03-16,68,58,0.5397,NA,NA,32,NA,"ASUN",8,1.469,12.01,-8.34,22,4.88,5.21,1.73,5.12,0.1459,11.14,12,"v5","Margin of Victory","2026-03-16"
"Johns Hopkins",6,74,12.33,6,62,10.33,6,75,82,157,0.478,6,10,19,0.526,6,4,16,0.75,4,2,0.667,6,74,62,2,6,51,8.5,6,65,10.83,6,74,51,125,20.83,6,187,31.17,6,81,13.5,6,54,9,6,74,269,0.275,6,104,115,0.904,2026,2026-03-16,36,39,0.48,16,12,7,NA,"Big Ten",7,3.12,8.17,-2.08,6,2.22,1.69,-1.68,2.97,0.7363,11.33,18,"v5","Margin of Victory","2026-03-16"
"LIU",6,72,12,6,59,9.83,6,80,68,148,0.541,6,12,22,0.545,6,6,12,0.5,5,1,0.833,6,72,59,2.17,6,39,6.5,6,64,10.67,6,72,39,111,18.5,6,127,21.17,6,84,14,6,41,6.83,6,72,249,0.289,6,107,114,0.939,2026,2026-03-16,48,44,0.5217,NA,NA,28,NA,"NEC",7,-2.373,2.86,-10.59,65,1.51,2.77,2.23,1.71,-0.2581,10.91,29,"v5","Margin of Victory","2026-03-16"
"Lafayette",7,89,12.71,7,63,9,7,105,73,178,0.59,7,5,20,0.25,7,7,23,0.696,5,2,0.714,7,89,63,3.71,7,50,7.14,7,64,9.14,7,89,50,139,19.86,7,237,33.86,7,123,17.57,7,66,9.43,7,89,283,0.314,7,118,142,0.831,2026,2026-03-16,57,48,0.5429,NA,NA,48,NA,"Patriot League",8,-1.783,4.89,-7.94,55,3.04,4.58,5.26,4.12,0.2916,10.86,15,"v5","Margin of Victory","2026-03-16"
"Lehigh",6,74,12.33,6,76,12.67,6,83,85,168,0.494,6,12,23,0.522,6,9,24,0.625,2,4,0.333,6,74,76,-0.33,6,45,7.5,6,70,11.67,6,74,45,119,19.83,6,191,31.83,6,111,18.5,6,54,9,6,74,222,0.333,6,101,121,0.835,2026,2026-03-16,68,74,0.4789,NA,NA,34,NA,"Patriot League",7,0.634,7.52,-10.59,34,2.22,-3.39,-0.68,-0.12,0.2916,12.5,38,"v5","Margin of Victory","2026-03-16"
"Loyola Maryland",6,74,12.33,6,73,12.17,6,79,87,166,0.476,6,6,14,0.429,6,7,15,0.533,4,2,0.667,6,74,73,0.17,6,48,8,6,83,13.83,6,74,48,122,20.33,6,194,32.33,6,86,14.33,6,47,7.83,6,74,233,0.318,6,111,139,0.799,2026,2026-03-16,83,71,0.539,NA,NA,47,NA,"Patriot League",7,0.226,3.94,-3.46,39,2.22,-2.31,-1.8,0.41,0.2916,12.25,32,"v5","Margin of Victory","2026-03-16"
"Manhattan",6,54,9,6,75,12.5,6,60,84,144,0.417,6,3,13,0.231,6,4,17,0.765,2,4,0.333,6,54,75,-3.5,6,23,3.83,6,68,11.33,6,54,23,77,12.83,6,173,28.83,6,105,17.5,6,33,5.5,6,54,195,0.277,6,104,119,0.874,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,68,NA,"MAAC",7,-2.365,2.46,-10.59,64,-4.92,-3.02,-5.46,-4.93,-0.7271,10.75,65,"v5","Margin of Victory","2026-03-16"
"Marist",5,56,11.2,5,54,10.8,5,60,64,124,0.484,5,5,15,0.333,5,1,8,0.875,3,2,0.6,5,56,54,0.4,5,33,6.6,5,60,12,5,56,33,89,17.8,5,127,25.4,5,72,14.4,5,39,7.8,5,56,235,0.238,5,86,101,0.851,2026,2026-03-16,51,41,0.5543,NA,NA,52,NA,"MAAC",6,-5.718,-2.31,-7.99,77,-0.2,0.67,-1.3,-0.83,-0.7271,11,44,"v5","Margin of Victory","2026-03-16"
"Marquette",7,80,11.43,7,88,12.57,7,96,96,192,0.5,7,4,19,0.211,7,7,20,0.65,3,4,0.429,7,80,88,-1.14,7,41,5.86,7,76,10.86,7,80,41,121,17.29,7,198,28.29,7,94,13.43,7,46,6.57,7,80,276,0.29,7,141,155,0.91,2026,2026-03-16,69,85,0.4481,NA,NA,30,NA,"Big East",7,1.003,11.06,-7.99,28,0.29,-3.18,-0.31,-1.53,-0.0923,12,46,"v5","Margin of Victory","2026-03-16"
"Maryland",5,61,12.2,5,53,10.6,5,82,49,131,0.626,5,2,8,0.25,5,1,9,0.889,2,3,0.4,5,61,53,1.6,5,34,6.8,5,52,10.4,5,61,34,95,19,5,141,28.2,5,74,14.8,5,31,6.2,5,61,181,0.337,5,89,98,0.908,2026,2026-03-16,50,51,0.495,11,11,18,NA,"Big Ten",6,2.707,8.13,-8.43,9,1.94,1.1,7.49,2.55,0.7363,11.4,22,"v5","Margin of Victory","2026-03-16"
"Massachusetts",8,109,13.62,8,72,9,8,71,135,206,0.345,8,10,22,0.455,8,9,27,0.667,7,1,0.875,8,109,72,4.62,8,64,8,8,113,14.12,8,109,64,173,21.62,8,189,23.62,8,99,12.38,8,70,8.75,8,109,299,0.365,8,161,181,0.89,2026,2026-03-16,109,70,0.6089,NA,NA,31,NA,"MAC",9,-2.252,4.89,-8.34,62,4.99,4.58,-9.92,6.28,1.1206,11.31,10,"v5","Margin of Victory","2026-03-16"
"Mercer",7,78,11.14,7,100,14.29,7,102,101,203,0.502,7,2,15,0.133,7,5,8,0.375,3,4,0.429,7,78,100,-3.14,7,33,4.71,7,79,11.29,7,78,33,111,15.86,7,215,30.71,7,128,18.29,7,49,7,7,78,303,0.257,7,130,155,0.839,2026,2026-03-16,67,90,0.4268,NA,NA,43,NA,"Southern",8,-1.077,7.52,-11.37,52,-0.33,-6.91,-0.19,-4.72,-0.8413,12.71,64,"v5","Margin of Victory","2026-03-16"
"Merrimack",7,63,9,7,100,14.29,7,96,90,186,0.516,7,7,20,0.35,7,9,20,0.55,1,6,0.143,7,63,100,-5.29,7,38,5.43,7,88,12.57,7,63,38,101,14.43,7,179,25.57,7,136,19.43,7,43,6.14,7,63,234,0.269,7,107,148,0.723,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,53,NA,"MAAC",8,2.155,11.06,-3.13,14,-4.92,-6.91,0.68,-6.81,-0.7271,11.64,67,"v5","Margin of Victory","2026-03-16"
"Michigan",7,89,12.71,7,75,10.71,7,103,87,190,0.542,7,8,19,0.421,7,7,22,0.682,3,4,0.429,7,89,75,2,7,57,8.14,7,70,10,7,89,57,146,20.86,7,200,28.57,7,114,16.29,7,55,7.86,7,89,282,0.316,7,123,138,0.891,2026,2026-03-16,67,72,0.482,NA,NA,39,NA,"Big Ten",8,2.636,8.13,-6.59,11,3.04,0.86,2.29,2.97,0.7363,11.71,18,"v5","Margin of Victory","2026-03-16"
"Monmouth",6,65,10.83,6,48,8,6,82,50,132,0.621,6,2,11,0.182,6,5,17,0.706,3,3,0.5,6,65,48,2.83,6,35,5.83,6,62,10.33,6,65,35,100,16.67,6,155,25.83,6,81,13.5,6,40,6.67,6,65,243,0.267,6,109,129,0.845,2026,2026-03-16,58,40,0.5918,NA,NA,58,NA,"CAA",7,-2.399,1.69,-6.49,66,-1,6.75,7.18,2.22,-0.3808,9.41,26,"v5","Margin of Victory","2026-03-16"
"Mount St. Mary's",6,48,8,6,80,13.33,6,61,85,146,0.418,6,4,17,0.235,6,11,20,0.45,1,5,0.167,6,48,80,-5.33,6,32,5.33,6,75,12.5,6,48,32,80,13.33,6,150,25,6,77,12.83,6,37,6.17,6,48,177,0.271,6,101,122,0.828,2026,2026-03-16,75,80,0.4839,NA,NA,59,NA,"MAAC",7,0.83,4,-3.46,29,-7.06,-4.83,-5.39,-6.85,-0.7271,10.66,68,"v5","Margin of Victory","2026-03-16"
"NJIT",7,95,13.57,7,88,12.57,7,116,88,204,0.569,7,5,16,0.312,7,7,17,0.588,3,4,0.429,7,95,88,1,7,56,8,7,100,14.29,7,95,56,151,21.57,7,220,31.43,7,124,17.71,7,57,8.14,7,95,318,0.299,7,147,174,0.845,2026,2026-03-16,100,88,0.5319,NA,NA,56,NA,"America East",8,0.368,6.41,-11.37,37,4.88,-3.18,3.96,0.32,-0.3685,13.07,33,"v5","Margin of Victory","2026-03-16"
"Navy",7,92,13.14,7,78,11.14,7,110,85,195,0.564,7,8,21,0.381,7,6,18,0.667,5,2,0.714,7,92,78,2,7,52,7.43,7,65,9.29,7,92,52,144,20.57,7,237,33.86,7,117,16.71,7,57,8.14,7,92,300,0.307,7,135,150,0.9,2026,2026-03-16,56,64,0.4667,NA,NA,22,NA,"Patriot League",8,0.695,5.93,-10.59,32,3.96,-0.07,3.65,2.33,0.2916,12.14,23,"v5","Margin of Victory","2026-03-16"
"North Carolina",7,110,15.71,7,62,8.86,7,129,68,197,0.655,7,11,24,0.458,7,8,22,0.636,6,1,0.857,7,110,62,6.86,7,57,8.14,7,64,9.14,7,110,57,167,23.86,7,275,39.29,7,98,14,7,43,6.14,7,110,371,0.296,7,134,152,0.882,2026,2026-03-16,51,55,0.4811,2,5,9,NA,"ACC",8,0.09,5.93,-10.59,40,9.47,4.88,9.29,9.2,1.5089,12.29,3,"v5","Margin of Victory","2026-03-16"
"Notre Dame",5,80,16,5,46,9.2,5,78,66,144,0.542,5,6,10,0.6,5,7,12,0.417,5,0,1,5,80,46,6.8,5,48,9.6,5,49,9.8,5,80,48,128,25.6,5,164,32.8,5,66,13.2,5,52,10.4,5,80,206,0.388,5,101,111,0.91,2026,2026-03-16,45,40,0.5294,1,1,3,NA,"ACC",6,1.518,8.46,-2.91,20,10.09,4.14,2.29,9.13,1.5089,12.6,4,"v5","Margin of Victory","2026-03-16"
"Ohio St.",8,98,12.25,8,52,6.5,8,112,69,181,0.619,8,12,22,0.545,8,4,15,0.733,7,1,0.875,8,98,52,5.75,8,56,7,8,75,9.38,8,98,56,154,19.25,8,281,35.12,8,130,16.25,8,75,9.38,8,98,328,0.299,8,176,192,0.917,2026,2026-03-16,69,48,0.5897,9,7,15,NA,"Big Ten",8,-2.352,8.13,-8.34,63,2.05,10.01,7.06,6.91,0.7363,9.38,7,"v5","Margin of Victory","2026-03-16"
"Penn",6,65,10.83,6,54,9,6,83,55,138,0.601,6,5,11,0.455,6,8,23,0.652,3,3,0.5,6,65,54,1.83,6,34,5.67,6,70,11.67,6,65,34,99,16.5,6,163,27.17,6,95,15.83,6,36,6,6,65,239,0.272,6,104,119,0.874,2026,2026-03-16,70,54,0.5645,19,19,29,NA,"Ivy League",7,1.566,8.17,-8.43,19,-1,4.58,5.95,2.32,0.4098,9.91,24,"v5","Margin of Victory","2026-03-16"
"Penn St.",6,91,15.17,6,61,10.17,6,110,63,173,0.636,6,5,8,0.625,6,7,10,0.3,4,2,0.667,6,91,61,5,6,58,9.67,6,51,8.5,6,91,58,149,24.83,6,233,38.83,6,115,19.17,6,63,10.5,6,91,236,0.386,6,121,147,0.823,2026,2026-03-16,44,50,0.4681,15,9,17,NA,"Big Ten",7,1.296,8.17,-2.77,25,8.31,2.04,8.11,6.12,0.7363,12.67,11,"v5","Margin of Victory","2026-03-16"
